time,open,high,low,close,tick_volume,spread,real_volume
2019-07-05,7878.51,7886.51,7775.71,7832.31,175401,0,0
2019-07-08,7832.51,7842.81,7757.31,7781.21,119701,0,0
2019-07-09,7779.01,7838.31,7723.01,7827.51,182101,0,0
2019-07-10,7827.51,7929.41,7791.61,7905.41,197701,0,0
2019-07-11,7903.61,7943.21,7874.71,7898.31,131701,0,0
2019-07-12,7896.71,7948.81,7893.31,7939.51,68201,0,0
2019-07-15,7938.41,7974.31,7923.81,7967.11,72301,0,0
2019-07-16,7966.51,7984.31,7907.31,7921.31,108801,0,0
2019-07-17,7923.11,7950.01,7852.01,7853.71,126601,0,0
2019-07-18,7853.81,7938.71,7817.61,7933.61,162401,0,0
2019-07-19,7938.31,7965.61,7801.81,7804.21,193501,0,0
2019-07-22,7816.31,7923.3,7814.31,7914.5,119791,0,0
2019-07-23,7915.9,7972.7,7895.4,7928.5,142001,0,0
2019-07-24,7933.0,8039.0,7913.0,7989.4,195601,0,0
2019-07-25,7993.1,8022.1,7905.6,7968.9,208801,0,0
2019-07-26,7983.3,8029.3,7976.6,8004.9,83801,0,0
2019-07-29,8007.8,8021.3,7941.9,7994.6,145601,0,0
